,image_id,image_path,object_id,x_min,y_min,x_max,y_max,class_name
0,0,./dataset/500312017027788273140767434249.39.png,3,66,35,110,118,3
1,1,./dataset/500312017027788273140767434249.39.png,9,132,39,177,126,9
2,2,./dataset/719286726848549587468891230549.186.png,1,55,16,66,109,1
3,3,./dataset/719286726848549587468891230549.186.png,8,89,21,134,104,8
4,4,./dataset/719286726848549587468891230549.186.png,6,154,29,192,99,6
5,5,./dataset/3116856472920753967252522.40.png,4,97,26,134,132,4
6,6,./dataset/3116856472920753967252522.40.png,0,140,27,159,104,0
7,7,./dataset/382580111918171752017243581522.14.png,1,146,23,156,76,1
8,8,./dataset/382580111918171752017243581522.14.png,4,173,18,208,76,4
9,9,./dataset/264068503345399364439834662408.31.png,3,110,24,133,117,3
10,10,./dataset/264068503345399364439834662408.31.png,1,148,23,158,139,1
11,11,./dataset/11439069582662735245.11.png,1,167,0,176,52,1
12,12,./dataset/11439069582662735245.11.png,1,194,9,203,72,1
13,13,./dataset/418934605993044999657520149858.33.png,3,41,17,90,84,3
14,14,./dataset/418934605993044999657520149858.33.png,3,98,16,149,85,3
15,15,./dataset/661181879510561474964606850598.34.png,3,61,27,107,107,3
16,16,./dataset/661181879510561474964606850598.34.png,4,119,32,185,122,4
17,17,./dataset/207983640526338852704453691988.1780.png,1,96,1,103,51,1
18,18,./dataset/207983640526338852704453691988.1780.png,7,109,9,127,43,7
19,19,./dataset/207983640526338852704453691988.1780.png,8,148,1,161,51,8
20,20,./dataset/207983640526338852704453691988.1780.png,0,185,12,209,50,0
21,21,./dataset/1110792635253511711652477471569.130.png,1,99,35,107,87,1
22,22,./dataset/1110792635253511711652477471569.130.png,3,118,29,149,93,3
23,23,./dataset/1110792635253511711652477471569.130.png,0,159,43,189,73,0
24,24,./dataset/148760917386480958297348138029.92.png,9,16,40,88,111,9
25,25,./dataset/148760917386480958297348138029.92.png,2,103,45,193,123,2
26,26,./dataset/6361785645132042966.94.png,9,119,7,144,63,9
27,27,./dataset/6361785645132042966.94.png,4,130,15,133,18,4
28,28,./dataset/1051734687728731373550050309716.4.png,4,181,10,222,50,4
29,29,./dataset/1034185673116940136252950285960.80.png,8,110,18,155,64,8
